الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Asghar Ali Tazkar EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/1/a/1aa2428-asghar-ali-tazkar-edp-100ml.png,265.0,Asghar Ali,Unisex,Perfume,Natural,Woody,100 ml,,Eau de Parfum,"Pepper, Sage, Lavender, Bergamot","Herbs, Flowers, Saffron, Cardamom, Leather, Magnolia, Thyme","Patchouli, Vetiver, Moss, Oud, Cedar, Sweet Amber",,,,,,
Beyonce Heat Rush,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3607340302565-beyonce-beyonce-heat-rush-_w_-edp-100-ml-1.jpg,155.0,Beyonce,Women,Perfume,Extravagant,Fruity,100 ml,2010,Eau de Parfum,"Passionfruit, Cherry, Blood Orange","Mango Blossom, Hibiscus, Orchid","Musk, Amber, Tea Wood",,"Passionfruit, Cherry, Blood Orange, Mango Blossom, Hibiscus, Orchid, Musk, Amber, Tea Wood",,,,
Reef Perfumes Bluest EDP,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">9 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287036282639_-_reef_perfumes_-_reef_perfumes_bluest_200_ml_-_200_ml_-_fd.png,269.0,Reef Perfumes,Men,Perfume,Sophisticated,Soft Oriental,200 ml,,Eau de Parfum,Cardamom,Oris,Amber,,,,,,
Juicy Couture Viva La Juicy,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/j/u/juicy_couture_viva_la_juicy.jpg,298.0,Juicy Couture,Women,Perfume,Extravagant,Fruity,100 ml,2008,Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,","Amber, Caramel, Almond Candy, Sandalwood, Vanilla",Perfume,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",,,,
Acqua Di Parma Colonia,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8028713000089_acqua_di_parma_colonia_eau_de_cologne_50_ml_1.jpg,447.0,Acqua Di Parma,Men,Perfume,Classical,Aromatic,50 ml,2007,Eau de Cologne,,,,,"Bergamot, Citrus, Lemon, Bitter Orange, Sweet Orange, English Lavender, Bulgarian or Damascene Rose, Verbena, Clary Sage, Rosemary, Cedarwood, Patchouli, Sandalwood, Vetiver, Oakmoss.",Black,,,
Fabian Doof EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6288005155831_-_fabian_-_doof_-_50_ml.png,79.0,Fabian,Unisex,Perfume,Romantic,Floral,50 ml,,Eau de Parfum,"Raspberry, Lemon",Roses,"Musk, Vanilla, Amber Woods",,,,,,
Thierry Mugler A Men Ultimate,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/3/4/3439600043327-thierry-mugler-thierry-mugler-a-men-ultimate-_m_-edt-100-ml.jpg,426.0,Thierry Mugler,Men,Perfume,Extravagant,Fruity,100 ml,2009,Eau de Toilette,fruity,"woddy notes, malt","oriental accords, smoky accords, peat.",,"fruity, woddy notes, malt, oriental accords, smoky accords, peat.",,,,
Hackett London Absolute EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8436581948844_-_hackett_london_-_hackett_absolute_edp_-_100ml_-_fd.png,414.0,Hackett London,Men,Perfume,Natural,Woody,100 ml,2023,Eau de Parfum,"Lemon, Apple, Pink Pepper, Lavender","Violet Leaves, Geranium, Iris, Cardamom","Amber, Cedar, Vanilla, Oak",,,,,,
Arabian Oud Zumorod EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285952001976_-_arabian_oud_-_zumorod_edp_100_ml_-_100_ml_-_fd.png,290.0,Arabian Oud,Unisex,Perfume,Charismatic,Oriental,100 ml,2023,Eau de Parfum,"Omani Frankincense, Cardamom","Caramel, Orange Blossom","Madagascar Vanilla, Musk",,,,,,
Dior Diorissimo EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348900314290-christian-dior-christian-dior-diorissimo-_w_-edt-100-ml-100-ml-1.png,680.0,Dior,Women,Perfume,Sensual,Floral,100 ml,,Eau de Toilette,"Bergamot, green leaves","Boronia, rosemary, amaryllis, ylang-ylang, lily, jasmine, purple, lily of the valley","sandalwood, civet",,"#13200/a Alcohol , Aqua (Water) , Triethyl Citrate , Parfum (Fragrance) , Hydroxycitronellal , Citronellol , Linalool , Geraniol , Limonene , Benzyl Benzoate , Benzyl Salicylate , Farnesol , Eugenol , Bht , Cinnamyl Alcohol , Benzyl Alcohol , Hexyl Cinnam",,,,
Antiqua Firenze Oasi Di Agrumi,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8054383030248_antiqua_firrenze_oasi_di_agrumi_parfum_100_ml-en.jpg,645.0,Antiqua Firenze,Unisex,Perfume,Extravagant,Fruity,100 ml,2017,Eau de Parfum,"Bergamot, grapefruit, mandarin","black currant, patchouli, sandalwood, orange",white musk,,"Bergamot, grapefruit, mandarin, black currant, patchouli, sandalwood, orange, white musk",,,,
Yves Saint Laurent Tuxedo Epices Patchouli EDP,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">48 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614270699733-yves-saint-laurent-yves-saint-laurent-tuxedo-epices-patchouli-_u_-edp-125-ml.png,1392.0,Yves Saint Laurent,Unisex,Perfume,Charismatic,Chypre,125 ml,2015,Eau de Parfum,"Bergamot, coriander, violet leaves","lily of the valley, black pepper, rose","vanilla bourbon, amber, patchouli",,"Bergamot, coriander, violet leaves, lily of the valley, black pepper, rose, vanilla bourbon, amber, patchouli",,,,
Disney Cars Lightning Mcqueen EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/1/810876035286-disney-disney-cars-lightning-mcqueen-_m_-edt-100-ml.png,111.0,Disney,Kids,Perfume,Natural,Woody,100 ml,,Eau de Toilette,mandarin,roses,cedar wood,,,,,,
Ajwaak Lilac Musk EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287021553126-ajwaak-_-_-75-_.png,150.0,Ajwaak,Unisex,Perfume,Charismatic,Oriental,75 ml,,Eau de Parfum,,,,,,,,,
Saint Hilaire Ambre Chic EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760004321330-saint-hilaire-saint-hilaire-ambre-chic-_u_-edp-100-ml.png,149.0,Saint Hilaire,Men,Perfume,Extravagant,Aromatic,100 ml,2020,Eau de Parfum,"Tangerine, Sage","Tonka Bean, Iris","Vanilla, Leather",,,,,,
Givenchy Live Irresistible,"<h4 data-v-de649438="""">4.3</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_givenchy_perfumes_live_irresistible_for_women_eau_de_toilette.jpg,296.0,Givenchy,Women,Perfume,Feminine,Fruity,50 ml,2015,Eau de Toilette,"Pear Granita, Crispy Green Apple, Acidulous Raspberry","Rose Essentielle™ LMR, Pimento Berry LMR","Powdery Musks, Light Woods",,"Pear Granita, Crispy Green Apple, Acidulous Raspberry,Rose Essentielle™ LMR, Pimento Berry LMR,Powdery Musks, Light Woods",,,,
Affinessence Musc Ambregris,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3770005942090_affinessence_muc-_ambre_gris_edp_100_ml_eau_de_perfum.jpg,1472.0,Affinessence,Unisex,Perfume,Extravagant,Aromatic,100 ml,2017,Eau de Parfum,,,,,"Ambergris, black musk, truffle, Yerba Mate, patchouli and Haiti vetiver.","Black,Silver",,,
La Maison Orientale Majestic Night EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760277340267-la-maison-orientale-majestic-night.png,466.0,La Maison Orientale,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,Lemon,"Roses, Sugar","Cedar Wood, Vanilla, White Musk",,,,,,
Dkhoun Switch EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/1/310098_-_dkhoun_-_switch_-_75ml_-_fd.png,125.0,Dkhoun,Unisex,Perfume,Natural,Woody,75 ml,,Eau de Parfum,"Saffron, Nutmeg, Lavender","Roses, Oud","White Musk, Sandalwood, Patchouli",,,,,,
Ariana Grande Mod Blush EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/1/810101500060_-_ariana_grande_-_ariana_grande_mod_blush_for_women_eau_de_parfum_100ml_-_100_ml_-_fd.png,490.0,Ariana Grande,Women,Perfume,Extravagant,Fruity,100 ml,2022,Eau de Parfum,"Bergamot, Pink Pepper, Passion Fruit, Raspberry","Magnolia, Pear, Roses","Sandalwood, Ambroxan, Dreamwood, Musk",,,,,,
Ghalati Amber Oud EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287015125360-ghalati-amber-oud.png,249.0,Ghalati,Unisex,Perfume,Natural,Woody,75 ml,,Eau de Parfum,"Saffron, Orange","Ciprol, Guaiac Wood","Patchoy, Sandalwood, Oud",,,,,,
Alrawnaq Perfumes Al Fakhama EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/6/5/65100010162_-_-_al_fakhama_-_80_ml_-_fd.png,1093.0,Alrawnaq Perfumes,Unisex,Perfume,Glamorous,Oud,80 ml,,Eau de Parfum,Indian Oud Oil,Roses,Trad Oud Oil,,,,,,
Montale Infinty EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/m/0/m0060242b_-_montale_-_montale_infinty_edp_100_ml_-_100_ml-fd.png,645.0,Montale,Unisex,Perfume,Natural,Woody,100 ml,2023,Eau de Parfum,"Pink Pepper, Cardamom, Saffron, Plum, Black Cherry","Tuberose, Vetiver, Rose, Sandalwood, Leather, Oud","Musk, Tonka Bean, Amber Vanilla Sugar, Tobacco Leaves",,,,,,
Amouage Blossom Love,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_amouage_perfumes_blossom_love_edp_100_ml_for_701666263005.jpg,1424.0,Amouage,Women,Perfume,Feminine,Floral,100 ml,2017,Eau de Parfum,"Bergamot, Heliotrope","Cherry Blossom, Rose, Ylang-Ylang, Amaretto","Tonka Bean, Vanilla, Amber, Suede",,"Bergamot, Heliotrope,Cherry Blossom, Rose, Ylang-Ylang, Amaretto,Tonka Bean, Vanilla, Amber, Suede",Pink,,,
Al Luhayb Parfum Black Roes EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/9/0/900778794_-_al_luhayb_parfum_-_black_roes_-_75_ml.png,274.0,Al Luhayb Parfum,Unisex,Perfume,Sensual,Floral,75 ml,,Eau de Parfum,"Lychee, Pear, Bergamot","Turkish Rose, Peony, Flowers","White Musk, Vetiver",,,,,,
Xerjoff Kampuchea Noir Extrait de Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488152710-xerjoff-xer-kampuchea-noire-10ml.png,3404.0,Xerjoff,Unisex,Perfume,Natural,Woody,10 ml,2012,Extrait de Parfum,,,,,"Oud, Woods",,,,
Deraah Private Spice Amber EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123116470-deraah-private-spice-amber.png,480.0,Deraah,Unisex,Perfume,Classical,Leather,100 ml,,Eau de Parfum,"Bergamot, Cardamom","Caramel, Leather","Vanilla, Musk",,,,,,
Rasasi Hatem EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/1/614514124017-rasasi-hatem---men-edp-75-ml.png,55.0,Rasasi,Men,Perfume,Natural,Woody,75 ml,,Eau de Parfum,"Sage, Bergamot, Lavender, Amalfi Lemon","Rose, Jasmine, Geranium, Woods, Spices","Sandalwood, Patchouli, Virginia Cedar, Musk",,,,,,
Nightology Wild Temptation EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8431754007656-nightology-wild-temptation-edp-100-ml.png,650.0,Nightology,Unisex,Perfume,Modern,Oud,100 ml,2021,Eau de Parfum,"Peach, Cinnamon","Saffron, Nutmeg","Oud, Tobacco",,,,,,
Saint Hilaire Private Blue EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760004322573-saint-hilaire-saint-hilaire-private-blue-pour-homme-_m_-edp-100-ml.png,155.0,Saint Hilaire,Men,Perfume,Natural,"Woody,Woody",100 ml,2018,Eau de Parfum,"Orange Mandarin, Apple, Lavender",Violet,"Amber, Cedar, Leather.",,"Mandarin Orange, Apple, Lavender, Violet, Amber, Cedar, Leather.",,,,
Caron Tabac Noir Refillable EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3387951802127-caron-100-ml-tabac-noir-edp-refillable-spray.png,1310.0,Caron,Unisex,Perfume,Charismatic,Oriental,100 ml,2021,Eau de Parfum,"Madagascar pepper, Bulgarian tobacco","Indonesian Patchouli Leaf, Labdanum, Bardi Leaf, Tobacco","Vanilla, Cedar, Tonka Bean, Honey",,,,,,
Kholasaat Majesty Lyrique,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_kholasaat_perfumes_majesty_lyrique_for_unisex_eau_de_perfum_6287003650416.jpg,552.0,Kholasaat,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,"Saffron, Rose",Woody Notes,"Vanilla, Praline",,"Saffron, rose, woody notes, vanilla, praline","Gold,Brown",,,
Al Shaqrah Perfumes Lady Soir EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6285592036734_-_al_shaqrah_perfumes_-_-_100_ml.png,584.0,Al Shaqrah Perfumes,Women,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
ABAQ Lecce EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6284074700583-abaq-_-_.png,230.0,ABAQ,Unisex,Perfume,Charismatic,Oriental,75 ml,,Eau de Parfum,,,,,,,,,
Jean-Louis Scherrer Jean-Louis Scherrer,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/5/0/5050456044054-jean-louis-scherrer-jean-louis-scherrer-scherrer-1-_w_-edt-100-ml.jpg,363.0,Jean-Louis Scherrer,Women,Perfume,Natural,Woody,100 ml,1979,Eau de Toilette,"Aldehydes, Violet, Cassia, Hiacynth","Carnation, Tuberose, Gardenia, Orris, Jasmine, Rose","Sandalwood, Amber, Musk, Civet, Oakmoss, Vanilla, Vetiver, Cedar",,"Aldehydes, Violet, Cassia, Hiacynth, Carnation, Tuberose, Gardenia, Orris, Jasmine, Rose, Sandalwood, Amber, Musk, Civet, Oakmoss, Vanilla, Vetiver, Cedar",,,,
Zlatan Ibrahimovic Myth Bloom,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/7/3/7350084490420-zlatan-ibrahimovic-myth-bloom-pour-femme-_w_-edt-50-ml-1.jpg,223.0,Zlatan Ibrahimovic,Women,Perfume,Natural,Woody,50 ml,,Eau de Toilette,"Eucalyptus, Black Resin",Sandalwood,Cedar Wood and Patchouli.,,"Eucalyptus, Black Resin, Sandalwood, Cedar Wood and Patchouli.",,,,
Land Perfumes Land B EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6285592051126_-_-_land_perfumes_-_-_land_b_-_100_ml_-_fd.png,180.0,Land Perfumes,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,Cognac,"Tonka Bean, Oak, Cinnamon","Almond Candy, Vanilla, Sandalwood",,,,,,
S.T Dupont Blanc,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">84 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3386460002554_s_t_dupont_s_t_dupont_blanc_edp_100_ml_1.jpg,166.0,S.T. Dupont,Women,Perfume,Glamorous,Aromatic,100 ml,1996,Eau de Parfum,"White Currant, Nectarine, Tangerine","Tuberose, Orange Blossom, Sweet Pea, White Rose,Lily-of-the-Valley","Musk, White Amber, Cashmere Wood, Heliotrope",,"white currant, lily, tangerine, white nectarine, orange blossom, white rose, lily-of-the-valley, white amber, white musk, and heliotrope",White,,,
"Nshq One ""I"" EDP","<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/628080001-nshq-one-l-_.png,276.0,Nshq,Unisex,Perfume,Sensual,Floral,50 ml,2019,Eau de Parfum,"Rose, Jasmine, Lily, Woods","Saffron, Cloves, Bergamot","Oud, Patchouli, Woody Notes, Vanilla, Amber, Musk",,,,,,
Al Shaqrah Perfumes Ombré Leather EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6285592045910_-_al_shaqrah_perfumes_-_-_100_ml-fd.png,584.0,Al Shaqrah Perfumes,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
Olfactive Studio Close Up,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760209750799_olfactive_studio_close_up_edp_100_ml_1.jpg,856.0,Olfactive,Unisex,Perfume,Extravagant,Fruity,100 ml,2016,Eau de Parfum,"Green coffee, fresh spices, Griotte cherry","blonde tobacco, patchouli, atlas cedarwood, Centifolia rose","amber, musk, tonka bean",,"green coffee, fresh spices, Griotte cherry, blonde tobacco, patchouli, atlas cedarwood, Centifolia rose, amber, musk, tonka bean",Purple,,,
Davidoff Cool Water,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">199 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_davidoff_perfumes_cool_water_men_eau_de_toilette.jpg,232.0,Davidoff,Men,Perfume,Extravagant,Aromatic,125 ml,1988,Eau de Toilette,"Lavender, mint, green leaves, sea water, calon, rosemary","Geranium, Neroli, Jasmine, Sandalwood","Amber, tobacco, cedar, oak moss, musk",,"Lavender, mint, green leaves, seawater, calon, rosemary, geranium, neroli, jasmine, sandalwood, amber, tobacco, cedar, oak moss, musk",,,,
Calvin Klein One Shock,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">86 Ratings</span>",//assets.goldenscent.com/catalog/product/c/a/calvin_klein_shock_for_her_edp.jpg,429.0,Calvin Klein,Women,Perfume,Romantic,Floral,200 ml,1994,Eau de Toilette,"cucumber, sweet juice, lavender.","black pepper, lively black basil, resinous cardamom.","musk, patchouli, amber, and tobacco.",Perfume,"cucumber, sweet juice, lavender, black pepper, lively black basil, resinous cardamom, musk, patchouli, amber, and tobacco.",,,,
Delirio Bergamot Leather EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/d/e/del-be-le_-_delirio_-_bergamot_leather_-_75_ml_-_fd.png,260.0,Delirio,Unisex,Perfume,Classical,Leather,75 ml,,Eau de Parfum,,,,,"Leather, Vetiver, White Amber, Oud, Bergamot, Pink Pepper, Musk.",,,,
Angel Schlesser So Essential,"<h4 data-v-de649438="""">4.5</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/a/n/angel_schlesser_so_esseential_edt.jpg,229.0,Angel Schlesser,Women,Perfume,,,50 ml,,Eau de Toilette,,,,Perfume,"Kiwi, orange, mandarin, sweet flower, rose, nectarine, patchouli, musk",,,,
Rasouf Lavish Oud EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">5 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287037860737_-_rasouf_-_-_100_ml-fd.png,350.0,Rasouf,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,العود، المسك، اللبان، الشوكولاتة، دهن العود,,,,
Roberto Cavalli Oud Al Qasr,"<h4 data-v-de649438="""">4.6</h4>","<span data-v-de649438="""">14 Ratings</span>",//assets.goldenscent.com/catalog/product/r/o/roberto_cavalli_oud_al_qasr_edp_intense.jpg,847.0,Roberto Cavalli,Women,Perfume,Charismatic,Oud,75 ml,2014,Eau de Parfum,Cedarwood,Oud,"Labdanum, Vanilla",,"cedar, oud, labdanum, vanilla.",,,,
Minis Memories Capri EDP - 30 ml,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">34 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/m/e/memories_capri_bottle.jpg,29.0,Minis,Women,Perfume,Modern,Floral Oriental,30 ml,2019,Eau de Parfum,Hazelnut,Orange Flower,Cashmeran Sandalwood,,"Hazelnut, Orange Flower, Cashmeran Sandalwood",,,,
Lacoste Eau De Lacoste,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">61 Ratings</span>",//assets.goldenscent.com/catalog/product/l/a/lacoste_eau_de_lacoste_eau_de_parfum_copy.jpg,323.0,Lacoste,Women,Perfume,,,50 ml,,Eau de Parfum,,,,Perfume,"Pineapple, mandarin, bergamot, sambac jasmine, orange blossom, pineapple blossom, sandalwood, peru balsam, vetiver, vanilla",,,,
Jaguar Classic Black,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/l/classic_black_edt_copy.jpg,101.0,Jaguar,Men,Perfume,Charismatic,Oriental,100 ml,2002,Eau de Toilette,"Green Apple, Tangerine, Orange","Cardamom, Nutmeg, Black Tea","Sandalwood, White Musk, Cedarwood",Perfume,"Green Apple, Tangerine, Orange,Cardamom, Nutmeg, Black Tea,Sandalwood, White Musk, Cedarwood",,,,
Calvin Klein Obsession Night For Men,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">10 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/a/calvin_klein_obsession_night_for_men_edt_125_ml.jpg,281.0,Calvin Klein,Men,Perfume,Extravagant,Fruity,125 ml,2005,Eau de Toilette,"Pear, Cardamom","artemisia, grapefruit","nutmeg, musk, patchouli, vanilla, and vetiver notes.",,"Artemisia, Grapefruit, Pear, Cardamom, Nutmeg, Musk, Patchouli, Vanilla, Vetiver.",Blue,,,
Ajmal Purely Orient Vetiver EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6293708011025-ajmal-ajmal-purely-orient-vetiver-_u_-edp-75-ml.png,489.0,Ajmal,Unisex,Perfume,Natural,Woody,75 ml,2019,Eau de Parfum,"Vetiver, Bergamot","Patchouli, Cypress, Patchouli flowers","Oud, Musk, Saffron, Sandalwood",,,,,,
Reef Perfumes Reef 21,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">61 Ratings</span>",//assets.goldenscent.com/catalog/product/3/0/300021-reef-perfumes-_-_-21-50-_.jpg,196.0,Reef Perfumes,Unisex,Perfume,Sophisticated,Woody Oriental,50 ml,,Eau de Parfum,,,,,"Red Mulberry, cedarwood, patchouli",,,,
Le Labo Santal 33 EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">7 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/842185115878-le-labo-le-labo-santal-33-_u_-edp-50-ml.png,1075.0,Le Labo,Unisex,Perfume,Natural,Woody,50 ml,2011,Eau de Parfum,,,,,"Amber, Iris, Violet, Cardamom, Virginian Cedar, Papyrus Leaves, Leather, Sandalwood",,,,
Jo Malone Moonlit Camomile EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/9/690251119578_-_jo_malone_-_jo_malone_moonlit_camomile_unisex_cologne_100ml_-_100_ml_-_fd.png,790.0,Jo Malone,Unisex,Perfume,Sensual,Floral,100 ml,2022,Eau de Cologne,Ipomoea alba,Chamomile,White Musk,,,,,,
