الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Ahmed Perfume Pure Wonder EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6290360613512-ahmed-perfume-pure-wonder-50ml.png,70.0,Ahmed Perfume,Women,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,"Lavender, Orange, Mandarin, Black Currant, Fine Grain","Jasmine, Orange Blossom, Lavender","Madagascar Vanilla, Musk, Cedar, Amber",,,,,,
DKNY Nectar Love,"<h4 data-v-de649438="""">4.2</h4>","<span data-v-de649438="""">5 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_dkny_perfumes_nectar_love_for_women_eau_de_perfum_22548386903.jpg,323.0,Dkny,Women,Perfume,Feminine,Fruity,100 ml,2009,Eau de Parfum,"Yellow freesia, Mandarin, Grapefruit, Nectarine, Salicylate","Jasmine, Lily-of-the-valley, Mirabelle","Cedarwood, Vanilla, Musk, Beeswax, Neroli",,"solar notes , yellow freesia ,  nectarine ,mandarin orange, grapefruit  beeswax , jasmine , Lily of the valy , mirabelle , cedar , vanilla , musk , neroli .",Gold,,,
Creed Neroli Sauvage,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001046_creed_neroli_sauvage_eau_de_parfum_100ml_1.jpg,1512.0,Creed,Unisex,Perfume,Extravagant,Citrus,100 ml,1994,Eau de Parfum,"lemon, bergamot and petit grain","verbena, orange flower","ambergris, sandalwood",,"lemon, bergamot and petit grain, verbena, orange flower, ambergris, sandalwood",,,,
Tom Ford Noir Extreme,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">126 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_tom_ford_perfumes_noir_extreme_for_men_eau_de_perfum.jpg,647.0,Tom Ford,Men,Perfume,Romantic,Soft Oriental,50 ml,2015,Eau de Parfum,"Bergamot, bitter orange, mandarin and ginger.","Rose, jasmine, orange buds.","vanilla, amber, sandalwood and mastic",,"Mandarin, orange blossom, saffron, nutmeg, rose, jasmine, orange buds, woods, amber, sandalwood and vanilla.","Gold,Brown",,,
Jimmy Choo Blossom Special Edition EDP - 40 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460118767-jimmy-choo-jimmy-choo-blossom-special-edition-_w_-edp-40-ml.png,199.0,Jimmy Choo,Women,Perfume,Extravagant,Fruity,40 ml,2018,Eau de Parfum,Exotic fruits,Frangipani,"White Musk, Sandalwood",,,,,,
Camara Contra Men Only EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291108727621_-_camara_-_contra_men_only_-_100_ml_-_fd.png,69.0,Camara,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,البرغموت، الليمون، الفلفل الأسود، اللافندرالسوسن، القرنفل، القرفة، الياسمينالفانيليا، فول التونكا، بلسم تولو، البنزوين، الباتشولي,,,,
Al Dakheel Oud Blend Oud & Rose EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281150552715-aldakheel-blend-oud-_-rose-50-ml.png,138.0,Al Dakheel Oud,Unisex,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,,,,,"Oud, Roses",,,,
Flower Perfume Powder EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6280201379769_-_flower_perfumes_-_powder_-_30_ml_-_fd.png,59.0,Flower Perfume,Kids,Perfume,Sensual,Soft Floral,30 ml,,Eau de Parfum,,,,,,,,,
Xerjoff Shooting Stars Oesel EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488151959-xerjoff-xerjoff-shooting-stars-oesel-_u_-parfum-50-ml.png,1299.0,Xerjoff,Unisex,Perfume,Sensual,Floral,50 ml,2010,Eau de Parfum,"Lemon, fine grains, African orange blossom","rose, jasmine, white flowers, mimosa","Virginia cedar, patchouli, amber, tobacco flowers",,"Lemon, fine grains, African orange blossom, rose, jasmine, white flowers, mimosa, Virginia cedar, patchouli, amber, tobacco flowers",,,,
Franck Boclet Jasmin EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/5/3575070044577_-_franck_boclet_-_franck_boclet_fragrance_collection_jasmin_unisex_eau_de_parfum_100ml_-_100_ml_-_fd.png,790.0,Franck Boclet,Unisex,Perfume,Sensual,Floral Oriental,100 ml,2016,Eau de Parfum,"Pink Pepper, Geranium, Coriander","Ylang-ylang, Violet, Rose, Jasmine","Musk, Leather, Animal Notes",,,,,,
Olibere Le Jardin D’Amelie EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3760245890190-olibere-mo-le-jardin-d_am_lie--edp-100-ml-1.png,649.0,Olibere,Unisex,Perfume,Extravagant,Fruity,100 ml,2018,Eau de Parfum,"Bergamot, Rhubarb, Raspberry, Pink pepper","Honey, Rose, Violet","White Woods, Amber, Musk",,,,"Cruelty Free,Eco Friendly",,
