الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
جيرلان كيور إنتنس أو دو برفيوم,945,جيرلان,رجالي/نسائي,عطور,كلاسيكية,جلدية,125 مل,كحول، عطر (عطر)، أكوا (ماء)، كومارين، إيثيل هكسيل ميثوكسيسينامات، لينالول، ألفا إيزوميثيل أيونون، بوتيل ميثوكسيديبنزويل ميثان، بوتيلين جلايكول ديكابريلات / ديكابريلات، سيترونيل. ساليسيلات، ليمونين، فارنيسول، سينامال، هيدروكسيترونيلال، إيزويوجينول، يوجينول,أو دو برفيوم,الإيلنغ، أوسمانثوس,المسك، الجلود,خشب الأرز، خشب الصندل، التبغ,,2019,,,
كوتش دريمز - 90 مل,414,كوتش,نسائي,عطور,حيوية,فاكهية,90مل,عصير الكمثرى، البرتقال، الجاردينيا، زهور الصبار، شجرة جوشوا، أمبروكسان,أو دو برفيوم,عصير الكمثرى، البرتقال,البرتقال، الجاردينيا، زهور الصبار,شجرة جوشوا، أمبروكسان,,2020,,,
كاندي أديكت في فانيل أو دو برفيوم,70,كاندي أديكت,رجالي/نسائي,عطور,حيوية,شرقية,50 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، سيترونيلول، ليمونين، غيرانيول، بوتيل هيدروكسيتولوين، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، لينالول، إيجينول.,أو دو برفيوم,الفلفل الوردي,المريمية,الفانيليا,,2021,,,
روبرتو كافالي أومو روبرتو كافالي,302,روبرتو كافالي,رجالي,عطور,جذابة,شرقية,100 مل,البنفسج الأسود، الزعفران، العسل، الخزامي، أخشاب الأرز، الباتشولي، التونكا.,أو دو تواليت,بنفسج أسود، زعفران,عسل، خزامى,خشب الأرز، باتشولي، التونكا,,2016,عطور,,
مجموعة ذهب - 4 قطع,606,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
جورجيو أرماني أرماني برايفت فيرت ملاكيت,1461,جورجيو ارماني,رجالي/نسائي,عطور,جذابة,أروماتيك,100 مل,نبات مسك الروم، الميرمية، الفلفل ألوردي، زهر البرتقال، زهرة اليلانغ يلانغ، الياسمين ، الكشمير، صمغ البنزوين، العنبر.,أو دو برفيوم,,,,أخضر,2016,,,
دولتشي آند غابانا ذا ون للرجال أو دو تواليت,373,دولتشي آند غابانا,رجالي,عطور,محبة للطبيعة,خشبية,100 مل,الكزبرة، الريحان، الجريب فروت، زنجبيل، براعم البرتقال، الحبهان، العنبر، أخشاب الأرز، التبغ,أو دو تواليت,جريب فروت، كزبرة، ريحان,زنجبيل، براعم البرتقال، الحبهان,العنبر، أخشاب الأرز، التبغ,,2008,عطور,,
ذا فاينيست روز أو دو برفيوم - 100 مل,219,ذا فاينيست,رجالي/نسائي,عطور,رومانسية,مسك,100 مل,البرغموت، الخوخ، الأناناس، الورد البلغاري، الياسمين، الغاردينيا، زنبق الوادي، المسك، خشب الأرز، العنبر، التونكا,أو دو برفيوم,البرغموت، الخوخ، الأناناس,الورد البلغاري، الياسمين، الجاردينيا، زنبق الوادي,المسك، خشب الأرز، العنبر، التونكا,,,,,
لانكوم ايدول,448,لانكوم,نسائي,عطور,رومانسية,زهرية,50 مل,البرغموت (الحمضيات)، الكمثرى، الفلفل الوردي، الورد، الياسمين، المسك الأبيض، الفانيليا، الباتشولي، خشب الأرز,أو دو برفيوم,البرغموت (الحمضيات)، الكمثرى، الفلفل الوردي,الورد، الياسمين,المسك الأبيض، الفانيليا، الباتشولي، خشب الأرز,,2019,,,
فرزاتشي إروس للنساء أو دو برفيوم,555,فرزاتشي,نسائي,عطور,راقية,خشبية,100 مل,ليمون صقلية، برغموت كالابريان، رمان، زهرة ليمون، ياسمين سامباك ، تسريب الياسمين ، زهور الفاوانيا ، خشب الصندل ، أمبروكس ، مسك ، خشب حسي.,أو دو برفيوم,ليمون صقيلي، ليمون عطري كالاباري، رمان,ليمون، ياسمين سامباك، زهور الفاوانيا,خشب الصندل، أمبروكس، المسك، مختلف الروائح الخشبية.,,2014,عطور,,
