الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
املورا فانسي عود أو دو برفيوم,249,املورا,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,أو دو برفيوم,توت العليق، الزعفران,العود، الورد,البخور، أخشاب العنبر,,,,,
لافيماكين ديب وود أو دو برفيوم,160,لافيماكين,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,,أو دو برفيوم,دافانا، أوراق البنفسج,زهور البرتقال، العنبر الأبيض,الجلود، المسك، نجيل الهند,,,,,
لافيماكين تيل يور ستوري أو دو برفيوم,164,لافيماكين,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,البرجموت الإيطالي، الورد,أخشاب الأرز، زهور الإيلنغ,العنبر، أخشاب الصندل,,,,,
لافيماكين ليد أو دو برفيوم,159,لافيماكين,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,البرجموت، الفلفل الوردي,الزهور البيضاء، الباتشولي,المسك، الأخشاب,,,,,
لافيماكين لاود اوف نايت أو دو برفيوم,184,لافيماكين,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,البرجموت، الورد، حبوب التونكا، الفانيليا، الباتشولي، الأخشاب.,أو دو برفيوم,,,,,,,,
لافيماكين باوندلس أو دو برفيوم,188,لافيماكين,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,العنبر، العود، البخور، الزعفران، اللبان، الورد.,أو دو برفيوم,,,,,,,,
لافيماكين بيرلس أو دو برفيوم,178,لافيماكين,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,العود، الزعفران، الجلود، الهيل، جوزة الطيب، العنبر، أخشاب الصندل.,أو دو برفيوم,,,,,,,,
ديليريو سنشوال مسك أو دو برفيوم,260,ديليريو,رجالي/نسائي,عطور,حسية,زهرية,75 مل,المسك، الياسمين، السوسن، الورد.,أو دو برفيوم,,,,,,,,
ديليريو أورينتال باتشولي أو دو برفيوم,260,ديليريو,رجالي/نسائي,عطور,جذابة,شرقية,75 مل,الباتشولي، المسك، العود، جوزة الطيب، الزعفران، اللافندر.,أو دو برفيوم,,,,,,,,
ديليريو برجموت ليذر أو دو برفيوم,260,ديليريو,رجالي/نسائي,عطور,كلاسيكية,جلدية,75 مل,الجلود، نجيل الهند، العنبر الأبيض، العود، البرجموت، الفلفل الوردي، المسك.,أو دو برفيوم,,,,,,,,
امبير كولكشن بلاتينيوم إنتنس أو دو برفيوم,135,امبير كولكشن,رجالي/نسائي,عطور,,,85 مل,,أو دو برفيوم,,,,,,,,
امبير كولكشن تيفاني بيكوز أوف يو أو دو برفيوم,175,امبير كولكشن,رجالي,عطور,جذابة,شرقية,80 مل,النعناع، أوراق البنفسج، الكراميل، العنبر، الفانيليا,أو دو برفيوم,,,,,,,,
امبير كولكشن كيور إنتنس أو دو برفيوم,145,امبير كولكشن,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,75 مل,,أو دو برفيوم,أوسمانثوس، الإيلنغ,الجلود، المسك,التبغ، أخشاب الصندل، أخشاب الأرز الفرجيني,,,,,
عطور كوانتنس سيرفر برفيوم,399,عطور كوانتنس,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,برفيوم مركز,البرتقال، الليمون,الزهور البحرية، الياسمين,أخشاب الأرز، المسك الأبيض,,,,,
عطور كوانتنس ريد ماسكد برفيوم,399,عطور كوانتنس,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,برفيوم مركز,البرجموت، الفلفل الوردي,أخشاب الغاياك، الياسمين,العنبر، المسك، الفانيليا,,,,,
ديفيد والتر أدوريشن إكستريت دو برفيوم,145,ديفيد والتر,رجالي/نسائي,عطور,,,100 مل,,إكستريت دو برفيوم,,,,,,,,
ديفيد والتر ويند فلاورز أو دو برفيوم,145,ديفيد والتر,نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,البرجموت,الياسمين، حلوى اللوز,الأخشاب، المسك,,,,,
ديفيد والتر أي أم برنس أو دو برفيوم إنتنس,169,ديفيد والتر,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم انتنس,البرجموت، الليمون، عشبة رعي الحمام,البرتقال المر، زهور البرتقال، الحمضيات، الزهور,الأعشاب، التوابل، دهن العنبر,,,,,
ديفيد والتر ديزيرت روز أو دو برفيوم,175,ديفيد والتر,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,60 مل,,أو دو برفيوم,السفرجل، توت العليق,نوتات حيوانية، أخشاب الصندل,أخشاب الورد، العود,,,,,
لافندر أنونيموس إليكسر أو دو برفيوم,245,لافندر,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,البرتقال، الليمون، البرجموت، أمبروكسان، الشاي، الأخشاب، القرفة، الزنجبيل، المسك.,أو دو برفيوم,,,,,2023,,,
لافندر ميس إليت إكستريت دو برفيوم,189,لافندر,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,إكستريت دو برفيوم,رذاذ الماء، عصير الكشمش الأسود,الورد، الياسمين، النرجس,العود، البخور، الباتشولي,,2024,,,
لافندر ذا هيستوري إكستريت دو برفيوم,199,لافندر,رجالي/نسائي,عطور,,,75 مل,,إكستريت دو برفيوم,,,,,,,,
سميل آند سمايل بخور زيت عطري - 480 مل,275,سميل أند سمايل,,زيت عطري للمنزل,,زهرية شرقية,,البخور، الورد، الياسمين، السوسن، الموجيت، المسك، أخشاب الأرز، العنبر.,,,,,,,,,
توس لوف مي ذا أونيكس مجموعة هدايا (أو دو برفيوم 90 مل + أو دو برفيوم 4.5 مل + سيراميك معطر),472,توس,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو برفيوم,الفاونيا، الجريب فروت، البندق,الأوركيد الأسود، حجر الدم,أخشاب الصندل، نجيل الهند، الفانيليا,,2021,,,
توس لوف مي كولور فيتشي مجموعة هدايا - 4 قطع,472,توس,نسائي,مجموعة عطور,حسية,زهرية,,,أو دو برفيوم,الفلفل الوردي، الليتشي، الجريب فروت,الياسمين، الورد الدمشقي، الفاونيا,أخشاب الكشمير، الطحالب، أخشاب الأرز,,,,,
توس لوف مي ذا سيلفر مجموعة هدايا (أو دو برفيوم 90 مل + حقيبة),552,توس,نسائي,مجموعة عطور,حسية,زهرية,,,أو دو برفيوم,الماندرين البرتقالي، الخوخ,الورد، الياسمين,أخشاب الصندل، المسك,,2022,,,
توس لوف مي ذا إمبرالد إليكسر مجموعة هدايا (أو دو برفيوم 90 مل + أو دو برفيوم 15 مل + أو دو برفيوم 4.5 مل),598,توس,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو برفيوم,الجريب فروت، البرتقال الحلو، الكمثرى,البنفسج، زهور العسل، الياسمين,المسك، الفانيليا، الباتشولي,,2023,,,
لاند للعطور سي ويف أو دو برفيوم,180,لاند للعطور,رجالي/نسائي,عطور,جذابة,شرقية,,,أو دو برفيوم,الفلفل الوردي، النيرولي، الليمون,مسك الروم، نجيل الهند، المريمية,أوراق التبغ، الفانيليا، ستيراكس,,,,,
لاند للعطور لاند بي أو دو برفيوم,180,لاند للعطور,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الكونياك,حبوب التونكا، البلوط، القرفة,حلوى اللوز، الفانيليا، أخشاب الصندل,,,,,
لاند للعطور هاي باور أو دو برفيوم,180,لاند للعطور,رجالي/نسائي,عطور,جذابة,شرقية,,,أو دو برفيوم,دافانا، البرجموت الإيطالي، الفلفل الوردي,العنبر الأبيض، إكليل الجبل الإفريقي، العود,المسك، الجلود، نجيل الهند,,,,,
آيرين ميديتيريان هوني ساكل تياري أو دو برفيوم,595,آيرين,نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الليمون,الجاردينيا,زهرة التياري,,2024,,,
إستي لودر أزوري ليجاسي أو دو برفيوم,1100,إستي لودر,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الهيل، الريحان، نبات الطرخون,الياسمين، القرنفل، المريمية,الباتشولي، طحلب البلوط، نجيل الهند، أخشاب الصندل، الكمون، الجلد,,2024,,,
إستي لودر استي ليجاسي أو دو برفيوم,1100,إستي لودر,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,القرنفل، الياسمين، الورد,الإيلنغ,أخشاب الصندل، العنبر، المسك,,2024,,,
إستي لودر نوينج ليجاسي أو دو برفيوم,1100,إستي لودر,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,التوت، الكشمش الأسود,الورد الدمشقي، جذور السوسن,الباتشولي، أخشاب الصندل، نجيل الهند، العنبر، ستيراكس,,2024,,,
إستي لودر وايت لينين ليجاسي أو دو برفيوم,1100,إستي لودر,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,الألدهيدات,الورد، الياسمين,العنبر، المسك، نجيل الهند، أخشاب الأرز,,2024,,,
أروماتيك كاندلز عتيدة شمعة معطرة - 180 جم,81,أروماتيك كاندلز,,شمعة,,,,,,,,,,,,,
أروماتيك كاندلز شيري شمعة معطرة - 180 جم,81,أروماتيك كاندلز,,شمعة,,,,,,,,,,,,,
أروماتيك كاندلز سبشيال شمعة معطرة - 180 جم,81,أروماتيك كاندلز,,شمعة,,,,,,,,,,,,,
شمدي توسكا أو دو برفيوم,312,شمدي,نسائي,عطور,جذابة,شرقية,70 مل,الورد، المسك، العنبر.,أو دو برفيوم,,,,,,,,
شمدي لوديز أو دو برفيوم,356,شمدي,رجالي/نسائي,عطور,جذابة,شرقية,70 مل,أخشاب الصندل، العنبر، الفانيليا.,أو دو برفيوم,,,,,,,,
شمدي كيتزال أو دو برفيوم,338,شمدي,رجالي,عطور,جذابة,شرقية,70 مل,توت العليق، الزعفران، الفلفل الوردي، الجلود، السوسن، أخشاب الأرز، المسك، الفانيليا.,أو دو برفيوم,,,,,,,,
شمدي هاستا أو دو برفيوم,458,شمدي,رجالي,عطور,جذابة,شرقية,70 مل,التوت البري، الماندرين، أخشاب الصندل، اللوز، العنبر ، الفانيليا.,أو دو برفيوم,,,,,,,,
سنشري آسبرو عطر للشعر,250,سنشري,رجالي/نسائي,عطر للشعر,جذابة,شرقية,30 مل,الزعفران، أخشاب الصندل، الفانيليا، جوزة الطيب.,,,,,,,,,
سنشري فيريوس ليذر أو دو برفيوم,345,سنشري,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,الهيل، الجلود، البخور، القرفة.,أو دو برفيوم,,,,,,,,
سنشري آسبرو أو دو برفيوم,345,سنشري,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,الزعفران، أخشاب الصندل، الفانيليا، جوزة الطيب.,أو دو برفيوم,,,,,,,,
سنشري ميستيريوم عود أو دو برفيوم,345,سنشري,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,المسك، الباتشولي، العود، العنبر، البخور.,أو دو برفيوم,,,,,,,,
سنشري دراكونييان أو دو برفيوم,345,سنشري,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,التبغ، الباتشولي، الفلفل الأسود، الهيل.,أو دو برفيوم,,,,,,,,
روح الادهم ميم عطر للشعر,144,روح الادهم,رجالي/نسائي,عطر للشعر,جذابة,زهرية شرقية,30 مل,المسك، الفانيليا، الياسمين.,,,,,,,,,
روح الادهم الادهم عطر للشعر,155,روح الادهم,رجالي/نسائي,عطر للشعر,حسية,زهرية ناعمة,35 ml,المسك، البودرة.,,,,,,,,,
روح الادهم الادهم الثاني برفيوم,224,روح الادهم,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,المسك، الياسمين، براعم البرتقال.,برفيوم مركز,,,,,,,,
روح الادهم الأدهم الأول برفيوم,281,روح الادهم,رجالي/نسائي,عطور,كلاسيكية,جلدية,50 مل,حبوب التونكا، الفلفل الوردي، الجلود.,برفيوم مركز,,,,,,,,
عطر فلاور بودر أو دو برفيوم,59,عطر فلور,أطفال,عطور,حسية,زهرية ناعمة,30 مل,,أو دو برفيوم,,,,,,,,
عطر فلاور كوين أو دو برفيوم,179,عطر فلور,رجالي/نسائي,عطور,جذابة,زهرية شرقية,75 مل,زهور البرتقال، الكمثرى، الورد، أخشاب الصندل.,أو دو برفيوم,,,,,,,,
عطر فلاور عنبر أو دو برفيوم,199,عطر فلور,رجالي/نسائي,عطور,جذابة,شرقية,75 مل,,أو دو برفيوم,الفلفل الوردي، البرجموت,العنبر، الفانيليا، حبوب التونكا,الأخشاب العطرية.,,,,,
نوتة لاب سوفت توباكو أو دو برفيوم,189,نوتة لاب,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,القرفة، الفلفل الحلو,أوراق التبغ، العنبر,الفانيليا، المسك,,,,,
سيرتو سويت تروبيكال برفيوم,75,سيرتو,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,برفيوم مركز,البرتقال الصقيلي، برجموت كالابريا، الليمون الصقيلي,الفواكه,المسك الأبيض، الفانيليا، العنبر,,,,,
سيرتو امبر بلوسوم برفيوم,75,سيرتو,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,الزهور البيضاء، العنبر، الحمضيات.,برفيوم مركز,,,,,,,,
سيرتو مسكي روز برفيوم,75,سيرتو,رجالي/نسائي,عطور,حيوية,فاكهية,50 مل,,برفيوم مركز,الأناناس، اللافندر,السوسن، الياسمين، الفلفل الوردي,المسك، نجيل الهند، العنبر، الفانيليا، الباتشولي,,,,,
شوله أعذب عطر للشعر,119,شوله,رجالي/نسائي,عطر للشعر,جذابة,زهرية شرقية,30 مل,المسك، البودرة، الورد.,,,,,,,,,
شوله ماوان برفيوم,180,شوله,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,العسل، اللافندر، الحمضيات.,برفيوم مركز,,,,,,,,
شوله طويق برفيوم,180,شوله,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,أخشاب الأرز، اللبان، زهور البنفسج.,برفيوم مركز,,,,,,,,
شوله ثهلان برفيوم,180,شوله,رجالي/نسائي,عطور,كلاسيكية,جلدية,50 مل,المسك، الجلود، الحمضيات، أخشاب الصندل.,برفيوم مركز,,,,,,,,
شوله سابل برفيوم,190,شوله,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,العود، القرفة، العنبر.,برفيوم مركز,,,,,,,,
محمد عبدالخالق سعيد جولد أو دو برفيوم,275,محمد عبدالخالق سعيد,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الزعفران، الكراميل، القرفة,الورد، العنبر الجاف، الفانيليا,العود، المسك، نجيل الهند,,,,,
محمد عبدالخالق سعيد روز جولد أو دو برفيوم,275,محمد عبدالخالق سعيد,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,الورد، التوت,العود، اللبان,الجاوي، المسك، البخور,,,,,
وست ورلد إنجوي جيرل إكستريت دو برفيوم,245,وست ورلد,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,الزهور، الباتشولي، الأخشاب.,إكستريت دو برفيوم,,,,,,,,
شمدي آكيلاكس عطر للجسم - 100 مل,240,شمدي,رجالي/نسائي,بخاخ للجسم,جذابة,زهرية شرقية,100 مل,اللوز، زهور البرتقال، السوسن، حبوب التونكا، الكاكاو، الفانيليا، اللوز، القرفة، الباتشولي، أخشاب الأرز، أخشاب الكشمير.,,,,,,,,,
بيريز سانتال دو باسيفيك,570,بيريس,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,خشب الصندل ،زهري,أو دو برفيوم,خشب الصندل,زهري,زهري,"أسود,ذهبي",2016,,,
عطر فلاور نايس معطر جو - 500 مل,99,عطر فلور,,معطر للغرفة,,زهرية شرقية,500 مل,النرجس، الورد، العنبر، الورد.,,,,,,,,,
نوتة لاب سيزونال مجموعة هدايا (ماندرين أو دو برفيوم 50 مل + سو الكتريك أو دو برفيوم 50 مل),198,نوتة لاب,رجالي/نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
نوتة لاب لوكشيري مجموعة هدايا (سوفت توباكو أو دو برفيوم 50 مل + لابيلا أو دو برفيوم 50 مل),198,نوتة لاب,رجالي/نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
نوتة لاب ديلي مجموعة هدايا (فلورا أو دو برفيوم 50 مل + ميس روزا أو دو برفيوم 50 مل),198,نوتة لاب,نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
نوتة لاب ديلي مجموعة هدايا (سوفت توباكو أو دو برفيوم 50 مل + أزورا أو دو برفيوم 50 مل),198,نوتة لاب,رجالي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
جيفنشي بور أوم,422,جفنشي,رجالي,عطور,رجولية,زهرية,100 مل,"برقوق ميرابل,نجيل الهند، خزامى,قريضة، خشب الأرز",أو دو تواليت,بذور الكزبرة، برتقال اليوسفي، غريب فروت، بنفسج,نجيل الهند، خزامى,قريضة، خشب الأرز,,2008,عطور,,
نوتة لاب فريش مورنينج مجموعة هدايا (ايدل أوم أو دو برفيوم 50 مل + ايدل أوم أو دو برفيوم 50 مل),198,نوتة لاب,رجالي,مجموعة عطور,جذابة,شرقية,,,أو دو برفيوم,البرجموت,العرعر، الفلفل الأسود,أخشاب الصندل,,,,,
نوتة لاب فريش مورنينج مجموعة هدايا (ايدل فيم أو دو برفيوم 50 مل + ايدل فيم أو دو برفيوم 50 مل),198,نوتة لاب,نسائي,مجموعة عطور,جذابة,زهرية شرقية,,,أو دو برفيوم,السفرجل، الجريب فروت,الزهور البيضاء، الياسمين,المسك، السوسن، أخشاب الأرز الفرجيني، العنبر,,,,,
نوتة لاب فريش مورنينج مجموعة هدايا (ايدل فيم أو دو برفيوم 50 مل + ايدل أوم أو دو برفيوم 50 مل),198,نوتة لاب,رجالي/نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
كابورال انجينيوس أو دو برفيوم,64,,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,
كابورال لانتيرن روج أو دو برفيوم,64,,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,
كابورال سوفرين أو دو برفيوم,64,,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,البرجموت، اليوسفي، جوزة الطيب، الزعفران,زهور البرتقال، الياسمين، أخشاب الورد، القرنفل,أخشاب الصندل، العود، المسك، الباتشولي,,,,,
كابورال ريستريكشن ريد أو دو برفيوم,64,,رجالي,عطور,,,100 مل,,أو دو برفيوم,البرجموت، الفلفل الوردي، التفاح,التبغ، الورد، الياسمين، أخشاب الصندل,الفانيليا، المسك، العنبر، الباتشولي,,,,,
كابورال تينيشس أو دو برفيوم,64,,رجالي,عطور,,,100 مل,,أو دو برفيوم,البرجموت، جوزة الطيب، الهيل,الياسمين، اخشاب الصندل، إبرة الراعي,المسك، العود، الباتشولي، الفانيليا,,,,,
اير-فال أو ماي بي بي أو دي سينتور,79,اير-فال,أطفال,عطور,حسية,زهرية,60 مل,,أو دو سنتور,البرجموت، البرتقال المر، النيرولي,الورد، زهور البرتقال، البنفسج,المسك، الفانيليا، حجر الدم,,,,,
مارفل آي آم جروت أو دو تواليت,45,مارفل,أطفال,عطور,حسية,زهرية,30 مل,,أو دو تواليت,,,,,,,,
ديزني ستيتش أو دو تواليت,45,,أطفال,عطور,ديناميكية,حمضية,30 مل,,أو دو تواليت,البرتقال، الليمون، الأناناس,التفاح، الفراولة، البطيخ,المسك، أخشاب الصندل، الفانيليا,,,,,
ذا ميرشنت أوف فينيس لا فينيس ماي بيرلز أو دو برفيوم كونسنتري,650,ذا ميرشنت أوف فينيس,نسائي,عطور,جذابة,زهرية شرقية,50 مل,,أو دو برفيوم,الفلفل الوردي، الكاسيس، أوراق البنفسج,زئبق الوادي، الزهور البيضاء، الورد,حبوب التونكا، الماهونيال، أخشاب الصندل، السيلكوليد، أخشاب الأرز,,2020,,,
ذا ميرشنت أوف فينيس روزا موسينيجا أو دو برفيوم,740,ذا ميرشنت أوف فينيس,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الكاسيس، البرجموت، الورد,الورد، اللوتس، الماغونليا,الورد، العنبر، الفانيليا، أخشاب الأرز، المسك,,2016,,,
ذا ميرشنت أوف فينيس روزا موسينيجا أو دو برفيوم,500,ذا ميرشنت أوف فينيس,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,أو دو برفيوم,الكاسيس، البرجموت، الورد,الورد، اللوتس، الماغونليا,الورد، العنبر، الفانيليا، أخشاب الأرز، المسك,,2016,,,
ذا ميرشنت أوف فينيس بيزنطيوم سافرون أو دو برفيوم,500,ذا ميرشنت أوف فينيس,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الزعفران، الزعتر، الفلفل الأسود، الليمون,الجلد السويدي الأبيض، أخشاب الأرز، الزنبق الأبيض، الراوند، الأرجوان,الباتشولي، العنبر,,2013,,,
بي دي كيه روج سموكينج عطر للشعر,319,بي دي كيه,رجالي/نسائي,عطر للشعر,جذابة,شرقية,50 مل,,,البرجموت، الفلفل الوردي، الكرز,زهور البرتقال، حجر الدم، قشر الفانيليا السوداء,البنفسج، اللابدانوم، أمبروكسان، المسك الأبيض، أخشاب الكشمير، حبوب التونكا,,2018,,,
بي دي كيه سي سوير عطر للشعر,366,بي دي كيه,نسائي,عطر للشعر,حسية,زهرية,50 مل,,,الفلفل الأسود، الماندرين، الزنجبيل,زهور البرتقال، الياسمين المغربي، السفرجل,الباتشولي السنغافوري، العنبر، أخشاب الكشمير,,2016,,,
كايالي فانيلا 28 أو دو برفيوم,139,كايالي,رجالي/نسائي,عطور,جذابة,شرقية,10 مل,,أو دو برفيوم,أوركيد الفانيليا، الياسمين,حبوب التونكا، السكر البني,الباتشولي، المسك، أخشاب العنبر، العنبر,,2018,,,
نارسيسو رودريغز أول أوف مي أو دو برفيوم إنتنس,399,نارسيسو رودريغز,نسائي,عطور,جذابة,زهرية شرقية,30 مل,,أو دو برفيوم انتنس,ياسمين سمباك، السوسن الأسود,مسك الروم، إبرة الراعي الوردية، الورد,أخشاب الصندل الاسترالي، الفانيليا، المسك,,2024,,,
ايسي مياكي لو سيل دي إيسي أو دو تواليت,394,ايسى مياكى,رجالي,عطور,محبة للطبيعة,خشبية,50 مل,,أو دو تواليت,الزنجبيل، ملح البحر,نجيل الهند، الأعشاب البحرية,طحلب البلوط، أخشاب الأرز,,2024,,,
ايسي مياكي لو ديسي أو أند ماجنوليا انتنس أو ​​دو تواليت,597,ايسى مياكى,نسائي,عطور,حسية,زهرية,100 مل,,أو دو تواليت,البرجموت,رذاذ الماء، الماجنوليا,أخشاب الصندل,,2022,,,
شيسيدو جينزا موراساكي أو دو برفيوم,462,شيسيدو,نسائي,عطور,جذابة,زهرية شرقية,50 مل,,أو دو برفيوم,البنفسج، الرمان، التفاح,الياسمين، الفريزيا، الوستارية,أخشاب الكشمير، أخشاب الصندل، كشميران,,2022,,,
شيسيدو جينزا إنتنس أو دو برفيوم,669,شيسيدو,نسائي,عطور,حسية,زهرية,90مل,,أو دو برفيوم,الكشمش الأسود,الورد,الفانيليا، الباتشولي,,2023,,,
كوتش دريمز مون لايت أو دو برفيوم,385,كوتش,نسائي,عطور,حسية,زهرية شرقية,90مل,,أو دو برفيوم,البرجموت,الورد، الياسمين,الباتشولي، حبوب التونكا,,2024,,,
إميم عود موروكي بخور - 30 جم,120,إميم,,بخور,,عود,30 جم,عود موروكي طبيعي محسن,,,,,,,,,
لورا سينيور أو دو برفيوم,220,لورا,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,القرنفل، الفلفل الوردي، زهرة البرتقال,الكستناء، أخشاب الغاياك، العرعر,الفانيليا، بلسم بيرو، أخشاب الكشمير,,,,,
لورا أرينا أو دو برفيوم,220,لورا,نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,جوزة الطيب، الفلفل الوردي، البرجموت,الجاردينيا، الياسمين، المسك,أخشاب الصندل، العنبر، الفانيليا,,,,,
لورا أدفنتشر أو دو برفيوم,260,لورا,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,أخشاب الصندل، الحمضيات، نجيل الهند,العنبر، المسك، الزعفران,التوابل، الياسمين، الباتشولي,,,,,
ميدل مست عطر للشعر 2,170,ميدل مست,رجالي/نسائي,عطر للشعر,محبة للطبيعة,خشبية,50 مل,المسك، الأخشاب، الجلود، البخور.,أو دو برفيوم,,,,,,,,
ميدل مست جلو أو دو لرفيوم,160,ميدل مست,نسائي,عطور,جذابة,زهرية شرقية,50 مل,الزهور الصفراء، البرجموت، المسك، الورد دمشقي,أو دو برفيوم,,,,,,,,
ميدل مست آيريس أو دو لرفيوم,250,ميدل مست,رجالي/نسائي,عطور,حسية,زهرية,50 مل,زهرة الأيرس، الزهور البيضاء، المسك,أو دو برفيوم,,,,,,,,
ميدل مست تونكا روز أو دو لرفيوم,250,ميدل مست,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,الورد الأحمر، الياسمين، حبوب التونكا,أو دو برفيوم,,,,,,,,
ميدل مست أرابيك ليذر أو دو لرفيوم,250,ميدل مست,رجالي/نسائي,عطور,كلاسيكية,جلدية,50 مل,الجلود، العنبر، العود,أو دو برفيوم,,,,,,,,
ميدل مست بيور هير أو دو لرفيوم,330,ميدل مست,نسائي,عطور,جذابة,زهرية شرقية,75 مل,الڤانيليا، الأزهار الإيطالية البيضاء، مسك الروم.,أو دو برفيوم,,,,,,,,
ميدل مست بيور هيم أو دو لرفيوم,330,ميدل مست,رجالي,عطور,جذابة,زهرية شرقية,75 مل,أخشاب الورد البرازيلي، البتاشولي، ڤتيڤير، زئبق الوادي.,أو دو برفيوم,,,,,,,,
عود زايد دلع بيبي باودر أو دو برفيوم,312,عود زايد,نسائي,عطور,حسية,زهرية ناعمة,100 مل,البودرة، روائح النظافة.,أو دو برفيوم,,,,,,,,
عود زايد العود الأزرق أو دو برفيوم,479,عود زايد,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,المسك، أخشاب الصندل، العود الأزرق، الزعفران، الورد الطائفي.,أو دو برفيوم,,,,,,,,
عود زايد تانجليد عطر للشعر,288,عود زايد,رجالي/نسائي,عطر للشعر,,,50 مل,,أو دو برفيوم,,,,,,,,
عود زايد أوكيجن عطر للشعر,288,عود زايد,رجالي/نسائي,عطر للشعر,حسية,زهرية,50 مل,المسك، الزهور.,أو دو برفيوم,,,,,,,,
عود زايد ميستري عطر للشعر,288,عود زايد,رجالي/نسائي,عطر للشعر,جذابة,شرقية ناعمة,50 مل,البخور، حبوب التونكا، العسل.,أو دو برفيوم,,,,,,,,
عود زايد فاشونيستا عطر للشعر,288,عود زايد,رجالي/نسائي,عطر للشعر,متألقة,عود,50 مل,العود، الياسمين الأسباني.,أو دو برفيوم,,,,,,,,
عود زايد بن سلمان أو دو برفيوم,362,عود زايد,رجالي,عطور,متألقة,عود,100 مل,العود البارد.,أو دو برفيوم,,,,,,,,
عود زايد بن زايد أو دو برفيوم,362,عود زايد,رجالي,عطور,متألقة,عود,100 مل,دهن العود السيوفي، دهن العود السيلاني، دهن العود الكمبودي.,أو دو برفيوم,,,,,,,,
عود زايد أبوظبي يو إيه إي أو دو برفيوم,401,عود زايد,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,العنبر، الجلود، دهن العود السيوفي، الورد، الهيل، حبوب التونكا.,أو دو برفيوم,,,,,,,,
