الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
سامانس روزايتو أو دو برفيوم,197,سامانس,نسائي,عطور,,,70 مل,,أو دو برفيوم,الماندرين ، الزنجبيل ، الأناناس,الخزامى ، الكشمش الأسود ، الورد البولغاري ، زهرة الزنبق ، الليتشي,الفانيليا ، المسك,,,,,,,,,
رسائل عود الشيخ برفيوم,299,رسائل عود,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,,برفيوم مركز,,,,,العنبر، الحمضيات,,,,,,,
جاد مينيتشر كالتشر زعفران آند عود أو دو برفيوم,275,جاد,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,العود، الزعفران,,,,,,,
لا ميزون أورينتال فلور دي أمور أو دو برفيوم,633,لا ميزون أورينتال,رجالي/نسائي,عطور,حيوية,فاكهية,85 مل,2021,أو دو برفيوم,الليتشي، الراوند، البرغموت,الورد، زنابق الوادي، الفاوانيا,الفانيليا، المسك، أخشاب الكشمير,,الليتشي، الراوند، البرغموت، الورد، زنابق الوادي، الفاوانيا، الفانيليا، المسك، أخشاب الكشمير,,,,,,,
تيد لابيدوس رومبا فيفر أو دو تواليت,129,تيد لابيدوس,نسائي,عطور,حيوية,فاكهية,100 مل,2022,أو دو تواليت,الماندرين، الكشمش الأسود، الكمثرى,الورد، زهور الياسمين الليلي، زهور البرتقال,العنبر، الفانيليا، حلوى دولسي دو ليتشي,,,,,,,,,
كاندي أديكت في فانيل أو دو برفيوم,70,كاندي أديكت,رجالي/نسائي,عطور,حيوية,شرقية,50 مل,2021,أو دو برفيوم,الفلفل الوردي,المريمية,الفانيليا,,الكحول، عطر، ماء، هيدروكسي سيترونيلال، سيترونيلول، ليمونين، غيرانيول، بوتيل هيدروكسيتولوين، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، لينالول، إيجينول.,,,,,,,
الماجد للعود ريما كلاسيك أو دو برفيوم,85,الماجد للعود,رجالي/نسائي,عطور,عصرية,شرقية,100 مل,,أو دو برفيوم,الأزهار الشرقية,الزعفران الأبيض,الريحان,,,,,,,,,
عطور ذاكرة آمبر أو دو برفيوم,200,عطور ذاكرة,رجالي/نسائي,عطور,رومانسية,شرقية ناعمة,50 مل,,أو دو برفيوم,,,,,اللافندر، الفانيليا، اللبان، العنبر,,,,,,,
أصغر علي عود الفيروز أو دو برفيوم,160,أصغر علي,رجالي/نسائي,عطور,جذابة,زهرية شرقية,45 مل,,أو دو برفيوم,الفواكه,الأزهار,العنبر الشرقي,,,,,,,,,
إيمانويل أونغارو ديفا,188,إيمانويل أونغارو,نسائي,عطور,أنثوية,زهرية,100 مل,1983,أو دو برفيوم,المندرين، البرغموت، الكزبرة، خشب الورد، الخزامى,النرجس، الورد، زهرة يلانج يلانج، قرنفل، السوسن، الياسمين، مسك الروم الدرني,فانيلا، الباتشولي، خشب الصندل، الفيتيفر، العسل، طحلب السنديان، رائحة الزباد، المسك، القريضة,,المندرين، البرغموت، الكزبرة، خشب الورد، الخزامى، النرجس، الورد، زهرة يلانج يلانج، قرنفل، السوسن، الياسمين، مسك الروم الدرني، فانيلا، الباتشولي، خشب الصندل، الفيتيفر، العسل، طحلب السنديان، رائحة الزباد، المسك، القريضة,ذهبي,,,,,,
