الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
جيمي تشو إليسيت,263,جيمي شو,نسائي,عطور,رومانسية,زهرية,100 مل,2015,أو دو برفيوم,الزنجبيل، البرتقال المر,الورد، الفل، براعم البرتقال,العنبر، العسل، خشب الصندل، الكاراميل، أخشاب الكشمير، الفانيليا,,الزنجبيل، البرتقال المر، الورد، الفل، براعم البرتقال، العنبر، العسل، خشب الصندل، الكاراميل، أخشاب الكشمير، الفانيليا,"فضي,وردي",,,,,,
لاليك ليه كومبوزيشينز برفيومز إلكتريك بيربل أو دو برفيوم,589,لاليك,نسائي,عطور,حيوية,فاكهية,100 مل,2018,أو دو برفيوم,بويزنبيري، الجريب فروت,الكشمش الأسود، أوراق البنفسج، النعناع,الطحلب، الباتشولي,,بويزنبيري، الجريب فروت، الكشمش الأسود، أوراق البنفسج، النعناع، الطحلب، الباتشولي,,,,,,,
رذاذ جودي فيم إينتيرديت أو دو برفيوم,173,رذاذ جودي,رجالي/نسائي,عطور,محبة للطبيعة,فاكهية,100 مل,,أو دو برفيوم,,,,,البرجموت، الرمان، الليمون، الياسمين، عود الصليب,,,,,,,
باريس هيلتون بلاتينيوم أو دو برفيوم,232,باريس هيلتون,نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,الكمثرى الآسيوية، التفاح الأحمر,الزهور الخضراء، زهور الموغيت,مسك الكاشمير والعنبر السائل,,الكمثرى الآسيوية، التفاح الأحمر، الزهور الخضراء، زهور الموغيت، مسك الكشمير، العنبر السائل,,,,,,,
عالية للعطور مسك F3 أو دو برفيوم,219,عالية للعطور,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,أو دو برفيوم,الورد,الأزهار,المسك الأبيض,,,,,,,,,
مانسيرا أموري كافي أو دو برفيوم,525,مانسيرا,رجالي/نسائي,عطور,جذابة,شرقية,120 مل,2023,أو دو برفيوم,أماريتو، القهوة المحمصة,الفانيليا، الآيس كريم,العنبر، الفانيليا، السكر البني,,,,,,,,,
ساينت هيلير عود ألتيم أو دو برفيوم,138,ساينت هيلير,رجالي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,2020,أو دو برفيوم,الجلد,شجر السرو، الباتشولي,نجيل الهند,,الجلد، شجر السرو، الباتشولي، نجيل الهند,,,,,,,
جيرلان باتشولي اردنت,945,جيرلان,رجالي/نسائي,عطور,راقية,شرقية خشبية,125 مل,2020,أو دو برفيوم,الفلفل الوردي، الفلفل الأسود، التين,الورد التركي، الباتشولي، أخشاب الأرز,المسك، الجلود,,الفلفل الوردي، الفلفل الأسود، التين، الورد التركي، الباتشولي، أخشاب الأرز، المسك، الجلود,,,,,,,
لاليك إليوجين كابتيف,1145,لاليك,رجالي/نسائي,عطور,متألقة,شرقية,100 مل,2005,أو دو برفيوم,برغموت، أوراق التين,ياسمين السامباك، جوهر الورد، قرفة، شاي سيلاني,قريضة حمضية، خشب الأرز، فانيليا، حبوب التونكا، بتشول، مر,,"كشمش أسود، برغموت، فلفل وردي، إجاص,ياسمين السامباك، جوهر الورد، قرفة، شاي سيلاني,قريضة حمضية، خشب الأرز، فانيليا، حبوب التونكا، بتشول، مر",ذهبي,,,,,,
جان بول غوتييه لي بو أو دو برفيوم,625,جان بول غوتييه,رجالي,عطور,محبة للطبيعة,خشبية,125 مل,2023,أو دو برفيوم,الزنجبيل، السرو، السوسن، الأناناس,الأخشاب، جوز الهند,العنبر، أحجار العنبر، أخشاب الصندل، حبوب التونكا,,,,,,,,,
هالوين مان هيرو أو دو تواليت,299,هالوين,رجالي,عطور,حيوية,أروماتيك,125 مل,2021,أو دو تواليت,الزنجبيل، الليمون، الجريب فروت,الزنبق المائي، اللافندر، النوتات البحرية,الباتشولي، الطحالب، كشميران، عنبر اكستريم,,,,,,,,,
جيلانو ليبر أو دو برفيوم,288,جيلانو,نسائي,عطور,حسية,زهرية,75 مل,,أو دو برفيوم,,,,,شاي الياسمين، زهور البرتقال، الياسمين، المسك، الفانيليا، حشائش العنبر.,,,,,,,
تيد لابيدوس باريس رومبا باشون أو دو تواليت,89,تيد لابيدوس,نسائي,عطور,رومانسية,زهرية,100 مل,2015,أو دو تواليت,زهور البرتقال,الورد، الياسمين,الفانيليا، الباتشولي، العسل,,,,,,,,,
بوند نمبر 9 نوليتا,1737,بوند نمبر 9,نسائي,عطور,رومانسية,زهرية,100 مل,2017,أو دو برفيوم,فريزيا، يوسفي,فل، زنبق,صنوبر، مسك، خشب الصندل,,"جاردينيا، عود، مسك,فل، زنبق,صنوبر، مسك، خشب الصندل",متعدد الألوان,,,,,,
إيجو ليجند أو دو برفيوم,531,إيجو,رجالي,عطور,عصرية,,80 مل,,أو دو برفيوم,,,,,,,,,,,,
لا بونير قمرة برفيوم,90,لا بونير,نسائي,عطور,جذابة,شرقية,100 مل,,برفيوم مركز,"Bergamot, Cinnamon",Caramel,"Vanilla, Amber",,,,,,,,,
بوديسيا ذا فيكتوريوس هيرو أو دو برفيوم,1845,بوديسيا,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2016,أو دو برفيوم,الإيلنغ، الراوند، الزعفران، القهوة، البندق,الباتشولي، أخشاب الصندل، الورد، حبوب التونكا، التبغ,البنزوين، الورد الصخري، راتنجات التنوب، زيت سيبريول، أخشاب الغاياك، العود الهندي,,,,,,,,,
فيلفت كولون 612 أو دو برفيوم,355,فيلفت كولون,رجالي,عطور,,,100 مل,,أو دو برفيوم,البرتقال، اليوسفي، براعم البرتقال، البرغموت,ميموسا الياسمين، الورد التركي، الإيلنغ,التونكا، البتشولي، الفانيلا، نجيل الهند، المسك الأبيض,,,,,,,,,
بوشرون جايبور بوكيه أو دو برفيوم,249,بوشرون,نسائي,عطور,حسية,زهرية,100 مل,2019,أو دو برفيوم,المانجو، الأرز، الجريب فروت,ياسمين سامباك، ورد، أوريس,خشب الكشمير، الباتشولي، خشب الصندل.,,المانجو، الأرز، الجريب فروت، ياسمين سامباك، ورد، أوريس، خشب الكشمير، الباتشولي، خشب الصندل.,,,,,,,
أجمل كورو,115,أجمل,رجالي,عطور,حيوية,أروماتيك,90مل,2018,أو دو برفيوم,,,,,الباتشولي، الفلفل اللافندر، إبرة الراعي، البرجموت، جذور السوسن، نجيل الهند,,,,,,,
روشاس توكاد,293,روشاس,نسائي,عطور,رومانسية,زهرية,100 مل,1994,أو دو تواليت,البرغموت ، فريزيا ، إبرة الراعي,الياسمين ، السوسن ، الماغنوليا ، زنبق الوادي,العنبر والمسك والأرز والبتشولي والفانيليا,,،البرغموت ، فريزيا ، إبرة الراعي ،الياسمين ، السوسن ، الماغنوليا ، زنبق الوادي ،العنبر والمسك والأرز والبتشولي والفانيليا,,,,,,,
الدخيل للعود راقي,104,الدخيل للعود,رجالي/نسائي,عطور,حيوية,أروماتيك,50 مل,,أو دو برفيوم,,,,,الأزهار,,,,,,,
فالنتينو فالنتينا عود اسولوتو,545,فالنتينو,نسائي,عطور,كلاسيكية,خشبية,80 مل,2014,أو دو برفيوم,زهر البرتقال، هال,خشب العود، ورد بلغاري، جلد,زعفران، فانيليا، روائح خشبية,عطور العود,"ألدهيدات، رقيب الشمس ,خشب العود، ورد بلغاري، جلد ,زعفران، فانيليا، روائح خشبية",,,,,,,
إبراهيم القرشي آيكونك عود لذر,425,إبراهيم القرشي,رجالي/نسائي,عطور,كلاسيكية,جلدية,75 مل,,أو دو برفيوم,,,,,العود، الجلود، زهور السوسن، التونكا، الفانيليا، البخور، التوابل,,,,,,,
ديبتيك او دي سينس او دي تواليت,1199,ديبتيك,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2016,أو دو تواليت,زهر البرتقال، البرتقال المر,توت العرعر,الأنجيليكا، الباتشولي.,,,,,,,,,
أنفاسك دخون مستر شي أو دو برفيوم,525,أنفاسك دخون,رجالي,عطور,حيوية,مائية منعشة,75 مل,,أو دو برفيوم,نوتات مائية,نوتات عطرية,نجيل الهند,,نوتات مائية، نوتات عطرية، نجيل الهند,,,,,,,
درعه جيمستون 2 أو دو برفيوم,210,درعه,رجالي/نسائي,عطور,جذابة,شرقية خشبية,100 مل,,أو دو برفيوم,,,,,أخشاب الأرز، الفانيليا,,,,,,,
زيرجوف ورداسينا أو دو برفيوم,942,زيرجوف,رجالي/نسائي,عطور,عصرية,زهرية شرقية,50 مل,2019,أو دو برفيوم,النوتات الخضراء,الأرز، الباتشولي، الزعفران، الورد البلغاري,الفانيليا، المسك، التبغ,,النوتات الخضراء، الأرز، الباتشولي، الزعفران، الورد البلغاري، الفانيليا، المسك، التبغ,,,,,,,
ديور جاسمين دو أنجيس أو دو برفيوم,1600,ديور,رجالي/نسائي,عطور,حيوية,فاكهية,125 مل,2018,أو دو برفيوم,البرجموت,الخوخ، أوسمانثوس، المشمش، الياسمين,الفانيليا، المسك,,,,,,,,,
مينديتوروسا لو مات,748,مينديتوروسا,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,2014,أو دو برفيوم,,,,,جوزة الطيب، الفلفل الأسود، القرنفل، إبرة الراعي المصرية، روزا سنتيفوليا من جراس، الباتشولي الإندونيسي، خشب الكشمير، الخلود الإسباني، آن صوفي بيهاغل,,,,,,,
كاميليا مونت أو دو برفيوم,99,كاميليا,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الهيل، الفلفل الوردي، أوراق البنفسج، النعناع,الأناناس، القرفة، الشمام، المريمية، اللافندر,الفانيليا، الكستناء، أخشاب العنبر، أخشاب الأرز، أخشاب الغاياك,,,,,,,,,
جاكوار جاكوار بريفورمانس,261,جاكوار,رجالي,عطور,رجولية,أروماتيك,100 مل,2006,أو دو تواليت,ريحان، يوسفي، نعناع فلفلي، خشب السرو,زهرة الغرنوقي، جوزة الطيب، مريمية، زرق البنفسج,روائح خشبية، حبوب التونكا، مسك أبيض,,"هال، ليمون، زعتر,زهرة الغرنوقي، جوزة الطيب، مريمية، زرق البنفسج,روائح خشبية، حبوب التونكا، مسك أبيض",أخضر,,,,,,
ساينت هيلير برايفيت قولد أو دو برفيوم,159,ساينت هيلير,رجالي,عطور,جذابة,شرقية,100 مل,2018,أو دو برفيوم,البرغموت، التوابل,القرفة، الزعفران,العنبر، المسك، العود,,,,,,,,,
دير روز لا فيفوريت أو دو برفيوم,874,دير روز,نسائي,عطور,متألقة,عود,100 مل,2014,أو دو برفيوم,,,,,العود، الزعفران، الباتشولي، الفلفل وردي,,,,,,,
امورعود وايت ساندز برفيوم,745,امورعود,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2023,برفيوم مركز,نوتات شمسية، البرجموت، الزهور، زهور البرتقال,العود، الفلفل الأبيض، السرو,أخشاب الصندل، أخشاب طافي، المسك الأبيض,,,,,,,,,
بانافع للعود ستار عود أو دو برفيوم,58,بانافع للعود,رجالي/نسائي,عطور,عصرية,أروماتيك,100 مل,,أو دو برفيوم,,,,,العود,,,,,,,
مونتال رويال عود,428,مونتال,رجالي/نسائي,عطور,محبة للطبيعة,حمضية,100 مل,2005,أو دو برفيوم,,,,,جوز الهند، الخوخ، الورد، الجريب فروت، التوابل الهندية، الكمكوات، العود,,,,,,,
لاليك ليز كومبوزيسيون سبايسي اليكترم,1051,لاليك,رجالي/نسائي,عطور,محبة للطبيعة,أروماتيك,100 مل,2018,أو دو برفيوم,هال، زنجبيل، راتنج الإيليمي، بذر اليانسون، توت العرعر، فلفل وردي,زهرة يلانغ يلانغ,قريضة، لبان، طحلب البلوط,,"غريب فروت وردي، كرز بري، كشمش أحمر,زهرة يلانغ يلانغ,قريضة، لبان، طحلب البلوط",ذهبي,,,,,,
بولغاري ريالي روبينيا,1524,بولغاري,نسائي,عطور,رومانسية,زهرية ناعمة,100 مل,2018,أو دو برفيوم,اليوسفي,زهور البرتقال، الياسمين، البلسم، أخشاب الصندل,الفانيليا، حبوب التونكا، الزعفران البنفسج، العود,,اليوسفي، زهور البرتقال، الياسمين، البلسم، أخشاب الصندل، الفانيليا، حبوب التونكا، الزعفران البنفسج، العود,متعدد الألوان,,,,,,
أجمل مزيان,86,أجمل,رجالي/نسائي,عطور,,زهرية شرقية,14 مل,2009,برفيوم مركز,,,,,أزهار حاره ، موسيل الزهور، نفحات خشبية، نفحات من العنبر,,,,,,,
لا بيرلا إن روزا أو دو برفيوم,165,لا بيرلا,نسائي,عطور,حيوية,فاكهية,80 مل,2012,أو دو برفيوم,الفلفل الوردي، التوت، الكمثرى,الورد، بخور مريم، البنفسج,الباتشولي، خشب الصندل، العنبر.,,,,,,,,,
فرانك أوليفر نايت تاتش,129,فرانك أوليفر,رجالي,عطور,رومانسية,,100 مل,,أو دو تواليت,أناناس، ألدهيدات، برغموت، هال، غريب فروت,زهرة الغرنوقي، ياسمين، بنفسج، تفاح، جوزة الطيب,حزازيات، بتشول، نجيل الهند، خشب العنبر، مسك,,"برتقال اليوسفي، توت بري ,زهرة الغرنوقي، ياسمين، بنفسج، تفاح، جوزة الطيب,حزازيات، بتشول، نجيل الهند، خشب العنبر، مسك",أزرق,,,,,,
جيه.ديل بوزو أرابيان نايتس برايفت كوليكشن,1058,جيه. ديل بوزو,نسائي,عطور,راقية,شرقية خشبية,100 مل,2014,أو دو برفيوم,البارغموت، الكشمش الأسود، أوراق البنفسج,الياسمين، الورد، الزعفران,العود، حلوى اللوز، خشب الصندل، أخشاب الأرز,,البارغموت، الكشمش الأسود، أوراق البنفسج، الياسمين، الورد، الزعفران، العود، حلوى اللوز، خشب الصندل، أخشاب الأرز,,,,,,,
زهور فريدوم أو دو برفيوم,100,زهور,رجالي/نسائي,عطور,حسية,زهرية ناعمة,50 مل,,أو دو برفيوم,اللافندر,الكشمش الأسود، زهور البرتقال,المسك، الفانيليا,,,,,,,,,
لوليتا ليمبيكا لوليتا لاند,492,لوليتا لمبيكا,نسائي,عطور,راقية,فاكهية,80 مل,2018,أو دو برفيوم,بيليني، فلفل، اليوسفي الإيطالي، جريب فروت، ليمون، برتقال,ياسمين سامباك، ياسمين، خوخ أبيض، كشمش أسود، ماغنوليا، برقوق، ورد,مدغشقر فانيليا، مسك أبيض، بنزوين، عرق السوس، خشب الصندل.,,بيليني، فلفل، اليوسفي الإيطالي، جريب فروت، ليمون، برتقال، ياسمين سامباك، ياسمين، خوخ أبيض، كشمش أسود، ماغنوليا، برقوق، ورد، مدغشقر فانيليا، مسك أبيض، بنزوين، عرق السوس، خشب الصندل.,,,,,,,
نَقَه فيلور أو دو برفيوم,249,نَقَه,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الدخان، زهور البرتقال,الفانيليا، أخشاب التوابل,الحطب، العنبر، الليمون,,,,,,,,,
لويفي سولو إيلا إلكسير أو دو برفيوم,1125,لويفي,نسائي,عطور,عصرية,أروماتيك,100 مل,2023,أو دو برفيوم,الكمثرى، مسك الروم,الأخشاب البحرية، التوابل,أخشاب الصندل، المسك,,,,,,,,,
رويال آزور للعطور بيجينينج أو دو برفيوم,150,رويال آزور للعطور,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الشاي الأخضر، الشمر، البرجموت,العرق سوس، المر، اللبان، إكليل الجبل,الجاوي، الفانيليا، الأخشاب,,,,,,,,,
جورجيو أرماني سكاي دي جيويا,521,جورجيو ارماني,نسائي,عطور,رومانسية,زهرية,100 مل,2016,أو دو برفيوم,الكمثرى، الليتشي,الورد، الفاونيا,التوت الأسود، المسك الأبيض، خشب الأرز,,الكمثرى، الليتشي، الورد، الفاونيا، التوت الأسود، المسك الأبيض، خشب الأرز,,,,,,,
توم فورد وايت سوايد أو دو برفيوم,1104,توم فورد,نسائي,عطور,رومانسية,زهرية,50 مل,2009,أو دو برفيوم,الزعتر، الشاي,زنبق الوادي، الزعفران، الورد,الجلد المدبوغ، المسك، خشب الصندل، العنبر، اللبان,,الزعتر، الشاي، زنبق الوادي، الزعفران، الورد، الجلد المدبوغ، المسك، خشب الصندل، العنبر، اللبان,,,,,,,
كريستيان لوبوتان لووبيشارم بيتل 1 أو دو برفيوم إنتنس,1680,كريستيان لوبوتان,رجالي/نسائي,عطور,عصرية,زهرية شرقية,90مل,2021,أو دو برفيوم انتنس,البخور,إبرة الراعي، الورد,الباتشولي,,,,,,,,,
كالفين كلاين وِومن أو دو تواليت,299,كالفن كلاين,نسائي,عطور,حسية,زهرية,50 مل,,أو دو تواليت,توت العليق، الفلفل الوردي، القرفة الصينية، الليمون,الورد، الفاوانيا، زهور البرتقال,البخور، الأرز، المسك، أمبروكسان,,,,,,,,,
يخت مان ميتل,35,يخت,رجالي,عطور,حيوية,أروماتيك,100 مل,2005,أو دو تواليت,,,,,الأخشاب، المسك، التوابل، الحمضيات,,,,,,,
فلوريس لندن سانتال أو دو تواليت,584,فلوريس لندن,رجالي/نسائي,عطور,راقية,شرقية خشبية,100 مل,2002,أو دو تواليت,البرجموت، الفلفل الوردي، الهيل، الحشائش الخضراء، الليمون,براعم القرنفل، اللافندر، جوزة الطيب,العنبر، أخشاب الأرز، اللبان، المسك، أخشاب الصندل، الفانيليا، نجيل الهند,,,,,,,,,
قوتشي فلورا جورجيوس جاسمين أو دو برفيوم - 100 مل,601,قوتشي,نسائي,عطور,أنثوية,زهرية,100 مل,2022,أو دو برفيوم,الفلفل الأسود، البرجموت، الماندرين الإيطالي,الورد الدمشقي، الماغنوليا، ياسمين سمباك، الياسمين,الباتشولي، أخشاب الصندل، البنزوين,,,,,,,,,
بييرا كاترا سبارك أو دو برفيوم,88,بييرا كاترا,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,75 مل,,أو دو برفيوم,القنب، الأعشاب,الراتنجات، الأخشاب، القهوة,البخور، العود اللاوسي المعتق,,,,,,,,,
إكزوما بارفيومز سيتريس ليكيور وومن أو دو برفيوم,564,إكزوما بارفيومز,نسائي,عطور,ديناميكية,حمضية,100 مل,2018,أو دو برفيوم,اللافندر، الماندرين، البرجموت,الياسمين، زهور البرتقال,العنبر، المسك,,,,,,,,,
بوليفارد باريس بونت ماري أو دو برفيوم,121,بوليفارد باريس,نسائي,عطور,راقية,زهرية شرقية,100 مل,,أو دو برفيوم,الكمثرى، الكشش الأسود,السوسن، الياسمين، زهر البرتقال,حبوب التونكا، البرالين، الباتشولي,,,,,,,,,
عطور غنى فلفت تاتش أو دو برفيوم,320,عطور غنى,نسائي,عطور,,,50 مل,,أو دو برفيوم,,,,,البنفسج، البرتقال، البرغموت، ياسمين، ورد مسك، سوسن و فانيليا,,,,,,,
رصاصي جنون ساتين بور فيم أو دو برفيوم,230,رصاصي,نسائي,عطور,رومانسية,زهرية,50 مل,,أو دو برفيوم,التفاح، التوت الأحمر,الأوركيد، الورد، ياسمين سمباك، الإيلنغ، مسك الروم، زنبق الوادي,أخشاب الأرز، الباتشولي، خشب الصندل، اللبان، المسك الأبيض، العنبر، الفانيليا,,,,,,,,,
جلوريوس روم مسك زمزم أو دو برفيوم,199,جلوريوس روم,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,المسك، البخور، الكحول، ماء زمزم.,,,,,,,
أونسكاد 50,720,أونسكاد,نسائي,عطور,متألقة,الشيبير,100 مل,2021,أو دو برفيوم,التوابل، الحمضيات,الورد الأصفر، الإيلنغ,نوتات حيوانية، الباتشولي، المسك، طحلب الالأزرقط,,كحول دينات، عطر (عطر)، أكوا (ماء)، ألفا، إيزوميثيل أيونون، كومارين، لينالول، بنزيل بنزوات، كحول سيناميل، ليمونين، سيترونيلول، بنزوات بنزيل، كحول سيناميل، ليمونين، سيترونيلول، بنزيل سينامات، كحول بنزيل، سيترال,,,,,,,
ايسي مياكي لو دي ايسي شيدز اوف كولام أو دو تواليت,396,ايسى مياكى,نسائي,عطور,حسية,زهرية,100 مل,2020,أو دو تواليت,جريب فروت، هيل فريسيام,ياسمين سامباك، زهور مايو، أرز بسمتي,العنبر ، الأرز,,جريب فروت، هيل فريسيام، ياسمين سامباك، زهور مايو، أرز بسمتي، العنبر ، الأرز,,,,,,,
ذا وود كوليكشن بيور شاين أو دو برفيوم,537,ذا وودز كوليكشن باي ناتشورال,رجالي/نسائي,عطور,راقية,شرقية,100 مل,2016,أو دو برفيوم,الحمضيات، الجريب فروت، الأناناس، الفلفل الوردي,ياسمين، جذور السوسن، صفير,المسك الأبيض، الباتشولي، الفانيليا، نجيل الهند، العنبر.,,الحمضيات، الجريب فروت، الأناناس، الفلفل الوردي، الياسمين، جذر السوسن، الصفير، المسك الأبيض، الباتشولي، الفانيليا، نجيل الهند، العنبر.,,,,,,,
مود بليس أو دو برفيوم,150,مود,نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,البرجموت، كمثرى الناشي، نكتارين الخوخ، البطيخ، الفلفل الوردي,الياسمين، زهور الطائف، الماغنوليا، الفريزيا، البنفسج,نجيل الهند، العنبر، المسك,,,,,,,,,
العربية للعود أونلي بلاك,148,العربية للعود,رجالي,عطور,راقية,شرقية خشبية,100 مل,,أو دو برفيوم,الباتشولي، الليمون,النعناع، الياسمين,خشب الصندل، المسك,,الباتشولي، الليمون، النعناع، الياسمين، خشب الصندل، المسك,,,,,,,
جيرلان لينستانت دو جيرلان,649,جيرلان,نسائي,عطور,رومانسية,زهرية,100 مل,2003,أو دو تواليت,البرغموت، الماندرين، البرتقال، التفاح الأحمر,سوسن، ياسمين، يلانغ يلانغ، ماجنوليا,المسك، العنبر، البنزوين، الفانيليا، العسل الأبيض,,البرغموت، الماندرين، البرتقال، التفاح الأحمر، سوسن، ياسمين، يلانغ يلانغ، ماجنوليا، المسك، العنبر، البنزوين، الفانيليا، العسل الأبيض,,,,,,,
أنطونيو بانديراس ذا جولدن سيكريت أو دو تواليت,124,أنطونيو بانديراس,رجالي,عطور,حيوية,أروماتيك,100 مل,2011,أو دو تواليت,التفاح، النعناع، النوتات الخضراء,جوزة الطيب، الفلفل، الكمون,الجلد، الأرز، المسك.,,التفاح، النعناع، النوتات الخضراء، جوزة الطيب، الفلفل، الكمون، الجلد، الأرز، المسك.,,,,,,,
عطور ماندرين لوميير أو دو برفيوم,170,عطور ماندرين,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,أو دو برفيوم,الحمضيات,الزهور,المسك، الأخشاب,,,,,,,,,
بارور لوماني ايه بي سبيريت مليونير سيجناتشير أو دو تواليت,77,بارور,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو تواليت,البرجموت، الفلفل الأسود، الكرنب الأسود,الموجيت، الباتشولي، التفاح، الأرز,المسك، العنبر، الجلود,,,,,,,,,
هند العود شيخ أ أو دو برفيوم,745,هند العود,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,التوابل، العود، العنبر,,,,,,,
ماجوري شارمينج تبروز أو دو برفيوم,330,ماجوري,نسائي,عطور,حسية,زهرية,75 مل,2019,أو دو برفيوم,جوز الهند، القرفة,مسك الروم، الياسمين، الجاردينيا,الفانيليا، نجيل الهند,,كحول مغير، عطر، ساليسيلات البنزيل، سينامال الأميل، كحول أميل سيناميل، بنزوات البنزيل، الكومارين، الأوجينول، هيكسيل سينامال، هيدروكسي سيترونيلال، أيزويوجينول، لينالول.,,,,,,,
مكارم كونهيل أو دو برفيوم,345,مكارم,رجالي/نسائي,عطور,رومانسية,زهرية شرقية,100 مل,,أو دو برفيوم,,,,,الزهور البيضاء، الأخشاب الداكنة، الباتشولي، خشب العود,,,,,,,
نيشا أوبرا أو دو برفيوم,199,نيشا,نسائي,عطور,,,75 مل,,أو دو برفيوم,,,,,البرتقال الأحمر، الجريب فروت، العسل، نبات الجاردينيا، الباتشولي,,,,,,,
نيشاني أسيفايت اكستريت دو برفيوم - 100 مل,1579,نيشاني,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2017,إكستريت دو برفيوم,البرجموت، الجريب فروت، الأناناس,الياسمين، الباتشولي، الأرز,الأخشاب، طحلب البلوط,,,,,,,,,
جنيد للعطور إبداع أو دو برفيوم,120,جنيد للعطور,رجالي/نسائي,عطور,عصرية,زهرية شرقية,100 مل,,أو دو برفيوم,زهور البرتقال,اللافندر، الخوخ,خشب الأرز,,زهور البرتقال، اللافندر، الخوخ، خشب الأرز,,,,,,,
أرابيان سوفينير روز دو أورينت أو دو برفيوم,189,أرابيان سوفينير,رجالي/نسائي,عطور,رومانسية,زهرية,55 ml,,أو دو برفيوم,الزعفران، زهر البرتقال، الياسمين,الورد، الباتشولي، خشب الصندل العربي,الفانيليا الحلوة، الكشمش، ماء الورد,,الزعفران، زهر البرتقال، الياسمين، الورد، الباتشولي، خشب الصندل العربي، الفانيليا الحلوة، الكشمش، ماء الورد,,,,,,,
لورد ميلانو أوكيجن 6 بي إم أو دو برفيوم,390,لورد ميلانو,رجالي/نسائي,عطور,حسية,زهرية,50 مل,2019,أو دو برفيوم,الجريب فروت، الخوخ، السكر المكرمل,الزهور، زنبق الوادي، الياسمين، الفانيليا,العنبر، أخشاب الصندل,,,,,,,,,
العطار غزال لوكشوري أو دو برفيوم,480,العطار غزال,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,50 مل,,أو دو برفيوم,,,,,الياسمين، الزعفران، البرتقال الأحمر، العسل، العنبر، أخشاب الأرز، التبغ الأبيض، الأخشاب,,,,,,,
دي إل برفيوم أوماز ديليكت أو دو برفيوم,632,دي إل برفيوم,رجالي/نسائي,عطور,كلاسيكية,عود,50 مل,,أو دو برفيوم,,,,,الزعفران، دهن العود، العنبر,,,,,,,
أحمد للعطور سعديك أو دو برفيوم,225,أحمد للعطور,رجالي/نسائي,عطور,جذابة,شرقية,90مل,,أو دو برفيوم,البرجموت، الليمون، الهيل، أنجليكا، العرعر، الفلفل الوردي,الإيلنغ، زهور البرتقال، الأرز، البنفسج، الورد، السوسن، جوز الهند,الفانيليا، المسك، الباتشولي، التبغ، التفاح، العنبر، أخشاب الصندل,,,,,,,,,
عطور غنى فانتوم أو دو برفيوم,380,عطور غنى,رجالي/نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,خوخ، أوراق التبغ، زهر البرتقال، عنبر، عسل، برقوق,,,,,,,
ماي برفيوم بارسا لا ماسيا أو دو برفيوم,99,ماي برفيوم,رجالي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,رذاذ مائي، الماندرين,التفاح، الياسمين، الهيل,اللافندر، العنبر، الكشمير، الأخشاب,,,,,,,,,
كامارا فاموس فوياج إلكسير أو دو برفيوم,69,كامارا,رجالي,عطور,,,100 مل,,أو دو برفيوم,,,,,القرفة، جوزة الطيب، الهيل، الجريب فروت، الليمونلافندرعرق السوس، العنبر، خشب الصندل، الباتشولي، نجيل الهند الهايتي,,,,,,,
مارياج تيندر لوف أو دو برفيوم,52,مارياج,نسائي,عطور,حسية,زهرية شرقية,100 مل,,أو دو برفيوم,البرجموت، الماندرين، توت العليق,الورد، مسك الروم، زهور البرتقال، الياسمين,المسك، الفانيليا، حبوب التونكا، أخشاب الصندل، العنبر,,,,,,,,,
هوجو بوس ديب ريد,192,هيوجو بوس,نسائي,عطور,محبة للطبيعة,حمضية,50 مل,2001,أو دو برفيوم,كليمنتين، الكشمش الأسود، برتقال، الماندرين، الكمثرى,مسك الروم، فريزيا، زنجبيل، كركديه، زنجبيل,خشب الصندل، خشب الأرز، المسك، الفانيليا,,كليمنتين، الكشمش الأسود، برتقال، الماندرين، الكمثرى، مسك الروم، فريزيا، زنجبيل، كركديه، زنجبيل، خشب الصندل، خشب الأرز، المسك، الفانيليا,,,,,,,
